Modelo,Custo,Peso (g),Horas Produtivas
Rede 3 camadas ocultas,409640.58,1140311.71,2023.74
Rede 3 camadas ocultas,423387.13,1287190.02,2169.83
Rede 3 camadas ocultas,469323.62,1355910.62,2284.02
Rede 3 camadas ocultas,476342.09,1366940.61,2434.07
Rede 3 camadas ocultas,477968.82,1425812.87,2452.1
Rede 3 camadas ocultas,494456.52,1497072.15,2477.85
Rede 3 camadas ocultas,511605.09,1675788.65,2524.5
Rede 3 camadas ocultas,514755.58,1690226.63,2549.13
Rede 3 camadas ocultas,545577.09,1694825.07,2648.22
Rede 3 camadas ocultas,570672.49,1885060.68,2907.51
