Modelo,Custo,Peso (g),Horas Produtivas
Real 1,433554.53,1309338,2528.95
Real 2,485872.13,1343253.77,2549.97
Real 3,427164.87,1309501.35,2495.42
Real 4,477771.37,1321877.69,2507.45
Real 5,429494.6,1315893.6,2507.65
Real 6,498249.25,1375914.2,2614.93
Real 7,555460.33,1391659,2915.18
Real 8,442603.04,1295417.4,2576.44
Real 9,552814.74,1378159,2901.3
Real 10,448804.36,1311781.31,2608.99
