Modelo,Custo,Peso (g),Horas Produtivas
Real 1,427164.87,1309338,2495.42
Real 2,429494.6,1378159,2507.45
Real 3,433554.53,1391659,2507.65
Real 4,442603.04,1295417.4,2528.95
Real 5,448804.36,1309501.35,2549.97
Real 6,477771.37,1311781.31,2576.44
Real 7,485872.13,1315893.6,2608.99
Real 8,498249.25,1321877.69,2614.93
Real 9,552814.74,1343253.77,2901.3
Real 10,555460.33,1375914.2,2915.18
