Modelo,Custo,Peso (g),Horas Produtivas
Rede 1 camada oculta,107913.7,877378,1641.63
Rede 1 camada oculta,164475.1,937980,2325.30
Rede 1 camada oculta,164733.1,1178571,2521.46
Rede 1 camada oculta,348087.0,1272685,2754.24
Rede 1 camada oculta,387487.8,2178283,3001.75
Rede 1 camada oculta,409884.5,2249419,3107.67
Rede 1 camada oculta,413155.9,2258319,3478.74
Rede 1 camada oculta,476836.0,2892844,3804.03
Rede 1 camada oculta,509996.1,3067550,3865.51
Rede 1 camada oculta,585582.2,4969343,4963.01
